user_id,session_id,clip_id,hr_mean,hr_max,hr_change_from_baseline,hr_slope,hr_recovery,eda_mean,eda_change_from_baseline,eda_peak_count,eda_max_amplitude,eda_slope,eda_recovery
pau,self_20260601_210739,clip_143,,,,0.0,,1.24986,0.06347,510,0.18921,2.6e-05,-0.1096
pau,self_20260601_210739,clip_142,,,,0.0,,1.15275,-0.14775,0,0.0,-4.1e-05,-0.1225
pau,self_20260601_210739,clip_141,,,,0.0,,1.09038,-0.01784,142,0.12958,-3.1e-05,-0.0782
pau,self_20260601_210739,clip_140,,,,0.0,,1.29131,0.07587,535,0.13276,4.4e-05,-0.025
pau,self_20260601_210739,clip_139,,,,0.0,,1.29945,0.04013,372,0.12998,8.8e-05,-0.0347
pau,self_20260601_210739,clip_138,,,,0.0,,1.04132,-0.24819,0,0.0,-4e-05,-0.0411
pau,self_20260601_210739,clip_137,,,,0.0,,1.09323,0.01147,218,0.08835,-8e-06,-0.0669
pau,self_20260601_210739,clip_136,,,,0.0,,1.05953,-0.08667,18,0.0892,-0.00034,-0.1999
pau,self_20260601_210739,clip_135,,,,0.0,,1.29438,0.07697,558,0.14049,4.1e-05,-0.0363
pau,self_20260601_210739,clip_134,,,,0.0,,1.13009,-0.08002,0,0.02849,0.000114,-0.0008
pau,self_20260601_210739,clip_133,,,,0.0,,1.37534,0.06237,535,0.12143,3.8e-05,-0.0459
pau,self_20260601_210739,clip_132,,,,0.0,,1.24423,-0.1048,0,0.0,9.6e-05,-0.025
pau,self_20260601_210739,clip_131,,,,0.0,,1.41129,0.05553,522,0.09484,1.5e-05,-0.0355
pau,self_20260601_210739,clip_130,,,,0.0,,1.32663,-0.0594,15,0.06537,-6.4e-05,-0.1548
pau,self_20260601_210739,clip_129,,,,0.0,,1.11424,-0.05918,9,0.05548,0.000174,-0.0403
pau,self_20260601_210739,clip_128,,,,0.0,,1.35801,0.0822,515,0.15539,5.5e-05,-0.0379
pau,self_20260601_210739,clip_127,,,,0.0,,1.08675,-0.31843,0,0.0,-7.6e-05,-0.1008
pau,self_20260601_210739,clip_126,,,,0.0,,0.99703,-0.11813,75,0.08795,-9.7e-05,-0.2449
